d35	date_d1_HTDMA	k35	d50	date_d50_HTDMA	k_HTDMA_D50	d75	date_d75_HTDMA	k_HTDMA_D75	d110	date_d110_HTDMA	k_HTDMA_D110	d165	date_d165_HTDMA	k_HTDMA_D165	d265	date_d265_HTDMA	k_HTDMA_D265
35	20.05.2015 01:56:33	0.088573183	50	20.05.2015 00:28:56	0.032424864	75	20.05.2015 01:19:37	0.138875982	110	20.05.2015 01:24:06	0.110716039	165	20.05.2015 02:10:00	0.121501791	265	20.05.2015 03:25:33	0.863458838
35	20.05.2015 03:30:01	0.036133383	50	20.05.2015 01:15:07	0.058272061	75	20.05.2015 02:54:22	0.044821186	110	20.05.2015 02:58:51	0.078641593	165	20.05.2015 04:25:00	0.12021327	265	20.05.2015 06:28:57	1.084791156
35	20.05.2015 05:01:12	0.033336159	50	20.05.2015 02:01:01	0.057170648	75	20.05.2015 04:20:34	0.033516152	110	20.05.2015 04:25:05	0.055858261	165	20.05.2015 06:01:00	0.106079866	265	20.05.2015 08:06:00	0.751115555
35	20.05.2015 06:33:25	0.107469031	50	20.05.2015 02:49:54	0.014379204	75	20.05.2015 05:57:22	0.057839209	110	20.05.2015 06:01:50	0.103042523	165	20.05.2015 08:23:00	0.163201514	265	20.05.2015 08:32:51	1.424888889
35	20.05.2015 08:10:28	0.080074044	50	20.05.2015 03:34:31	0.032069317	75	20.05.2015 07:35:45	0.129391815	110	20.05.2015 07:40:13	0.231979954	165	20.05.2015 09:37:00	0.30371185	265	20.05.2015 10:33:02	0.934143737
35	20.05.2015 09:24:29	0.197056125	50	20.05.2015 04:01:27	0.019063571	75	20.05.2015 08:46:17	0.151846545	110	20.05.2015 08:50:47	0.226216746	165	20.05.2015 10:50:00	0.185717657	265	20.05.2015 13:55:10	1.071032264
35	20.05.2015 10:37:30	0.157492669	50	20.05.2015 05:05:40	0.041794458	75	20.05.2015 10:00:24	0.13985763	110	20.05.2015 10:04:52	0.191477246	165	20.05.2015 12:03:00	0.24290176	265	20.05.2015 22:06:34	0.702414034
35	20.05.2015 11:49:58	0.136566227	50	20.05.2015 05:52:53	0.095702323	75	20.05.2015 11:13:24	0.081587758	110	20.05.2015 11:36:33	0.252368273	165	20.05.2015 13:01:00	0.232381103	265	20.05.2015 22:48:10	0.206830403
35	20.05.2015 13:32:42	0.122725938	50	20.05.2015 06:45:44	0.062142426	75	20.05.2015 12:30:17	0.199434131	110	20.05.2015 12:34:48	0.260935381	165	20.05.2015 14:17:00	0.288718625	265	20.05.2015 23:42:01	0.260673125
35	20.05.2015 15:21:50	0.196924542	50	20.05.2015 08:41:48	0.098081988	75	20.05.2015 13:41:42	0.181121598	110	20.05.2015 13:46:13	0.304783312	165	20.05.2015 15:35:00	0.351376741	265	21.05.2015 00:09:02	0.344853867
35	20.05.2015 16:15:42	0.165373858	50	20.05.2015 09:28:58	0.180072426	75	20.05.2015 15:03:55	0.462254019	110	20.05.2015 15:08:23	0.453527681	165	20.05.2015 16:29:00	0.446336547	265	21.05.2015 00:35:58	0.430454243
35	20.05.2015 17:09:32	0.158033401	50	20.05.2015 09:55:55	0.109885227	75	20.05.2015 15:57:45	0.253615559	110	20.05.2015 16:02:16	0.328875455	165	20.05.2015 17:23:00	0.307490624	265	21.05.2015 01:02:52	0.66090998
35	20.05.2015 18:42:48	0.192472977	50	20.05.2015 10:41:59	0.10935846	75	20.05.2015 16:51:38	0.277246105	110	20.05.2015 16:56:07	0.314752108	165	20.05.2015 18:26:00	0.321537501	265	21.05.2015 01:29:44	0.436127555
35	20.05.2015 19:56:34	0.128242907	50	20.05.2015 11:08:56	0.063130391	75	20.05.2015 17:45:23	0.227279401	110	20.05.2015 17:55:34	0.408808782	165	20.05.2015 19:43:00	0.432982546	265	21.05.2015 01:56:37	0.547530618
35	20.05.2015 20:50:25	0.046081672	50	20.05.2015 11:54:27	0.110941276	75	20.05.2015 19:11:43	0.263051523	110	20.05.2015 19:16:11	0.296524186	165	20.05.2015 20:36:00	0.295871673	265	21.05.2015 02:28:04	0.304738439
35	20.05.2015 21:44:09	0.042786364	50	20.05.2015 12:52:45	0.100070405	75	20.05.2015 20:05:32	0.092435486	110	20.05.2015 20:10:00	0.215514293	165	20.05.2015 21:30:00	0.207104587	265	21.05.2015 02:55:00	0.615000846
35	20.05.2015 23:19:34	0.052208706	50	20.05.2015 13:37:11	0.177167559	75	20.05.2015 20:59:23	0.096880877	110	20.05.2015 21:03:52	0.150093167	165	20.05.2015 22:39:00	0.261289569	265	21.05.2015 03:21:57	0.430550072
35	21.05.2015 00:13:31	0.053548213	50	20.05.2015 14:59:26	0.090055003	75	20.05.2015 21:53:06	0.156360755	110	20.05.2015 21:57:35	0.297441439	165	20.05.2015 23:33:00	0.193088195	265	21.05.2015 03:50:52	0.520504945
35	21.05.2015 01:07:20	0.030417856	50	20.05.2015 15:26:19	0.173657355	75	20.05.2015 23:01:38	0.057900383	110	20.05.2015 23:06:07	0.145755472	165	21.05.2015 00:26:00	0.281899728	265	21.05.2015 04:28:31	0.31233737
35	21.05.2015 02:32:33	0.044866594	50	20.05.2015 16:20:13	0.212371449	75	20.05.2015 23:55:35	0.083116601	110	21.05.2015 00:00:05	0.171634544	165	21.05.2015 01:20:00	0.286099794	265	21.05.2015 04:55:23	0.390195058
35	21.05.2015 03:26:25	0.042000752	50	20.05.2015 16:47:09	0.134580733	75	21.05.2015 00:49:23	0.082574119	110	21.05.2015 00:53:53	0.125034888	165	21.05.2015 02:19:00	0.23050228	265	21.05.2015 05:22:18	0.94622203
35	21.05.2015 04:33:00	0.065480496	50	20.05.2015 17:14:01	0.151829046	75	21.05.2015 01:43:12	0.07799882	110	21.05.2015 01:47:40	0.163465654	165	21.05.2015 03:12:00	0.171672384	265	21.05.2015 05:49:10	0.468290776
35	21.05.2015 05:26:46	0.046839024	50	20.05.2015 17:40:55	0.117456112	75	21.05.2015 02:41:32	0.118283163	110	21.05.2015 02:46:03	0.145653231	165	21.05.2015 04:12:00	0.31716666	265	21.05.2015 07:02:21	0.843046473
